cvar,pheno_days,jday,LA,group
0,53.916811424081295,190.03419415425643,3010.6490348457546,2
2,20.5045023099025,183.82420767192966,4551.926871481323,0
3,45.806636553448946,172.17473208679186,2197.356938479596,4
4,89.77639985214203,168.36808284375334,2073.7815618439054,1
5,30.431313258799282,182.64410727216116,6758.514107098766,0
7,63.707092870665015,177.29752918060845,4521.952976725873,2
8,67.219809785211,172.48539010012337,1383.1760075457644,5
9,75.10446202945974,181.3046099298293,5601.155312234361,6
12,38.30089841700479,184.86496165612314,4846.031395307819,0
13,38.86457867441344,183.24046179138688,2490.9140765779057,7
14,65.82527880500753,199.9690784896791,6304.595317952472,3
15,42.31176546806991,161.55052593763972,1363.7148607503595,5
16,71.81562879612524,197.42578161593832,4644.268059067393,3
17,58.896531673246905,168.75740768521024,1343.718950660599,5
18,48.375673925756786,176.81897128376957,3435.1162065014682,4
21,70.50922186630231,192.05573988723842,7760.276910239083,3
24,60.54001094223675,202.3531177532378,7296.053806516217,3
25,41.56876253268177,185.19911178039516,3629.30743684769,7
27,35.783929323582946,177.22669377908315,3912.3461360377937,7
28,68.33674408195454,175.35619674827632,2060.962202841791,5
29,72.82324530650061,184.23029663712163,3855.425938104918,2
30,68.96361221655883,192.28190227163336,4682.6966031771435,2
31,49.495013414823724,177.2545044991216,2521.2497605326403,4
34,34.45889899338159,186.38797902725443,2595.0275491600705,7
35,37.938687109948496,170.88360007319613,3233.8226711844186,4
36,44.012188330664586,181.15469513379804,2957.3088348186675,7
38,67.41699267188531,203.91170039402508,6027.34615325189,3
40,72.93986998378,165.72384365576465,1435.0347556998045,5
42,85.4601488496298,175.10157985246488,4750.433822529493,6
43,61.09129844513483,188.3410924770117,2877.536751383885,2
44,70.77293803727657,166.75002722732376,1399.0412098835461,5
46,96.56454922961566,171.7483390035598,3799.2071548821377,1
48,60.813766055903066,164.47297125284885,1674.4673289863956,5
49,44.05312882952564,184.27838629128357,2532.499060724281,7
50,48.85672487858294,172.28667702317452,2513.3250109144765,4
52,36.97834476934115,192.36895732324209,4637.19365891053,0
55,53.725742164498214,184.5087031520619,5255.904592169031,2
57,72.26909978766356,158.99434318874378,1074.797274953116,5
58,57.35503394672087,162.88235799108574,1339.1993779907934,5
59,37.25782618166547,178.7362377071891,2844.6817022009946,7
60,65.90757093470135,191.63394120611514,2483.378080866991,2
62,65.98759857350427,166.03404587024124,1612.4761285540812,5
63,42.577989402650765,170.15301231439392,2348.263040954451,4
65,92.8842701967527,169.66794042088088,1802.943881272103,1
66,18.006527673479532,183.31974586002318,7490.289659974004,0
71,52.290489040227605,185.37339739178285,3044.8129340638993,2
73,68.88344201587189,198.20590765485295,6429.593547760117,3
75,25.924437964341056,184.6008370439909,2419.1165286032597,7
76,55.5969062127866,172.53595717647278,1632.6261384479449,5
77,45.25993446025476,175.25222108117083,4061.0822033114696,4
78,75.54078116429905,190.0344531466325,3954.386751283947,2
79,47.50810414234415,192.45403181391146,5747.753472041029,0
81,95.91377692476107,177.64188535687578,4852.798538744739,6
84,60.902085428586794,170.07390822483603,1761.8264257008932,5
85,28.754551489789257,188.65859424569274,5064.177459817408,0
86,56.25241897374397,180.48778393113815,3354.1422866896955,2
87,25.906550008903732,181.32963206326232,4720.275627367016,0
88,86.87999785344688,189.84962002824764,4948.32799629096,6
89,79.78956260035214,187.49124950786756,7703.912847300644,3
90,93.04926276466789,171.34865539222022,3494.033328703533,1
97,19.49362209621802,178.16669945617699,3505.2890348083442,7
